r_id;s_id;Table1_total_values;Table2_total_values;Distinct_values_T1;Distinct_values_T2;Shared_values;Estimated_mapping_size;Mapping_density_ratio
object_csv_licensed.zip_Configuration1_window13_split9_typetest_projectsynapse1.0.csv;object_csv_licensed.zip_Configuration2_window10_split11_typetest_projectsynapse1.1.csv;3768;5328;646;833;391;1197856;0.059666354252341514
quick_time_csv_licensed.zip_recipe_1328.csv;quick_time_csv_licensed.zip_recipe_1769.csv;144;144;92;92;92;416;0.020061728395061727
seek_time_csv_licensed.zip_PL1331LAGSAS9H.csv;seek_time_csv_licensed.zip_PL2331LAGN2MSJ.csv;12768;14307;1604;1632;880;36916801;0.20209362282654986
id_csv_licensed.zip_0021600722_9.csv;id_csv_licensed.zip_boxscore_0021401207_1.csv;696;725;155;154;57;37969;0.07524573919936584
parent_csv_licensed.zip_J01-2004.annv3_26.csv;then_csv_licensed.zip_J01-2004_aakansha_64.csv;187;187;99;86;62;1798;0.0514169693156796
seek_time_csv_licensed.zip_PL2331LAGMJ0PJ.csv;seek_time_csv_licensed.zip_PL2331LAGMXMVJ.csv;15238;14535;1679;1768;956;59594049;0.26906666038179766
object_csv_licensed.zip_00003-035.csv;object_csv_licensed.zip_00008-213.csv;88;154;41;61;30;785;0.05792502951593861
data_rate_csv_licensed.zip_episode 11.csv;id_csv_licensed.zip_20171002152910.csv;1720;1341;713;894;342;6292;0.0027279191162443853
id_csv_licensed.zip_0021800045_1.csv;id_csv_licensed.zip_0021800549_3.csv;576;576;246;257;73;9927;0.029920789930555556
id_csv_licensed.zip_0021900104.csv;id_csv_licensed.zip_boxscore_0021700236.csv;696;754;157;168;67;33051;0.06298019756699899
id_csv_licensed.zip_boxscore_0021400684.csv;id_csv_licensed.zip_boxscore_0021601130.csv;754;754;155;162;61;40576;0.07137178197271493
seek_time_csv_licensed.zip_PL1331LAGSP4RH.csv;seek_time_csv_licensed.zip_PL1331LAGSPWAH.csv;12540;12502;1440;1559;761;37234833;0.23750479349141457
id_csv_licensed.zip_0021501070.csv;id_csv_licensed.zip_boxscore_0021600164.csv;725;725;155;151;59;39333;0.07483091557669441
seek_time_csv_licensed.zip_PL2331LAGPMUVJ.csv;seek_time_csv_licensed.zip_PL2331LAGPXKRJ.csv;11286;11286;1486;1454;1173;29118840;0.22860934442120262
real_time_csv_licensed.zip_0201_192204_InitializeSampleRD.csv;real_time_csv_licensed.zip_0204_124544_InitializeSampleRD.csv;164;164;156;155;92;101;0.003755205234979179
speed_of_light_csv_licensed.zip_2017-04-27.csv;speed_of_light_csv_licensed.zip_2017-05-25.csv;5434;5599;503;532;310;879500;0.02890718103021052
dwarf_csv_licensed.zip_leader.csv;id_csv_licensed.zip_RewardDatas_4.csv;1946;2800;339;277;139;1278;0.00023454705623256498
id_csv_licensed.zip_0021600643_3.csv;id_csv_licensed.zip_0022000771_4_2.csv;576;768;240;322;64;18512;0.04184751157407408
lead_time_csv_licensed.zip_J01-2004_32.csv;processing_time_csv_licensed.zip_J01-2004_aakansha_10.csv;187;187;97;86;62;1639;0.04687008493236867
real_time_csv_licensed.zip_0201_192204_InitializeSampleRD.csv;real_time_csv_licensed.zip_0223_141801_InitializeSampleCC.csv;164;164;156;145;86;96;0.003569303985722784
data_rate_csv_licensed.zip_A00-2018_akanksha_14.csv;parent_csv_licensed.zip_A00-2018_sweta_73.csv;165;176;76;88;54;1435;0.04941460055096419
in_time_csv_licensed.zip_CBIR metric_32.csv;rainy_day_csv_licensed.zip_Npc_SouthernVillage013.csv;310;132;115;124;30;30;0.0007331378299120235
id_csv_licensed.zip_fm_policytc_14.csv;parent_csv_licensed.zip_1400614_hhRelMale.csv;180;90;20;28;12;222;0.013703703703703704
id_csv_licensed.zip_0021800362.csv;id_csv_licensed.zip_boxscore_0021600603.csv;754;725;158;158;67;42021;0.07687002652519893
parent_csv_licensed.zip_A00-2018_akanksha_3.csv;thing_csv_licensed.zip_A00-2018_akanksha_22.csv;165;165;76;76;76;1587;0.058292011019283746
in_time_csv_licensed.zip_0201_025502_InitializeSampleRD.csv;in_time_csv_licensed.zip_0204_065106_InitializeSampleRD_1.csv;164;164;133;154;88;95;0.003532123735871505
seek_time_csv_licensed.zip_PL1331LAGTW4HH.csv;seek_time_csv_licensed.zip_PL2331LAGST2SJ.csv;12635;12502;1422;1544;914;40243809;0.2547676835497377
id_csv_licensed.zip_0021700886.csv;id_csv_licensed.zip_boxscore_0021400156.csv;725;754;158;155;66;38336;0.07012896734656544
object_csv_licensed.zip_Configuration3_window15_split14_typetest_projectsynapse1.1.csv;object_csv_licensed.zip_Configuration3_window4_split8_typetest_projectsynapse1.1.csv;5328;5328;833;833;833;1746424;0.06152069862655448
id_csv_licensed.zip_ir.model.access_31817.csv;id_csv_licensed.zip_ir.model.access_39713.csv;48;40;19;18;4;276;0.14375
seek_time_csv_licensed.zip_PL1331LAGM33WH.csv;seek_time_csv_licensed.zip_PL1331LAGRT86H.csv;15523;14307;1732;1612;1231;60126223;0.2707320604957249
seek_time_csv_licensed.zip_PL2331LAHDUMEJ.csv;seek_time_csv_licensed.zip_PL2331LAHDWBRJ.csv;1330;1330;173;171;144;515921;0.29166204986149585
id_csv_licensed.zip_0021900293_2.csv;id_csv_licensed.zip_boxscore_0021700965.csv;576;754;253;155;37;20548;0.04731248157972296
parent_csv_licensed.zip_Configuration1_window16_split6_typetypetest_projectpoi2.5.csv;parent_csv_licensed.zip_poi-1.5_56.csv;6744;5688;1126;963;527;1790612;0.04667930070256752
id_csv_licensed.zip_0021701165.csv;id_csv_licensed.zip_0021900469.csv;754;725;155;144;43;11531;0.021093935790725327
seek_time_csv_licensed.zip_PL1331LAGSHLUH.csv;seek_time_csv_licensed.zip_PL1331LAGSR7YH.csv;13661;12540;1514;1448;732;36910462;0.2154613880629931
seek_time_csv_licensed.zip_PL1331LAGS4JYH.csv;seek_time_csv_licensed.zip_WD-WXL1H645ETDE.csv;13053;10811;1518;1675;659;43685818;0.30957384890980066
object_csv_licensed.zip_Configuration2_window6_split9_typetest_projectsynapse1.1.csv;object_csv_licensed.zip_Configuration4_window0_split10_typetest_projectsynapse1.2.csv;5328;6144;833;966;582;1913048;0.058440031828703706
id_csv_licensed.zip_0021700433.csv;id_csv_licensed.zip_boxscore_0021701005_1.csv;754;725;164;158;67;42593;0.07791639989024056
seek_time_csv_licensed.zip_PL1331LAGRS2NH.csv;seek_time_csv_licensed.zip_PL1331LAGTX8VH.csv;14307;12464;1649;1559;800;51362353;0.2880307755757144
id_csv_licensed.zip_ir.model.access_28674.csv;id_csv_licensed.zip_ir.model.access_28947.csv;48;48;19;19;19;348;0.15104166666666666
id_csv_licensed.zip_ir.model.access_28759.csv;id_csv_licensed.zip_ir.model.access_29162.csv;40;40;18;18;18;302;0.18875
id_csv_licensed.zip_0021900224.csv;id_csv_licensed.zip_boxscore_0021500614.csv;667;725;152;155;73;31179;0.06447603784314739
processing_time_csv_licensed.zip_P05-1013_aakansha_21.csv;show_time_csv_licensed.zip_P05-1013.annv3_90.csv;220;220;92;111;70;2366;0.04888429752066116
in_time_csv_licensed.zip_0205_004428_InitializeSampleHD.csv;real_time_csv_licensed.zip_0204_123047_InitializeSampleRD.csv;164;164;156;156;91;102;0.003792385484830458
seek_time_csv_licensed.zip_PL1331LAGSPLEH.csv;seek_time_csv_licensed.zip_PL1331LAGTXBMH.csv;12711;12445;1441;1545;761;35048980;0.22156479936470688
object_csv_licensed.zip_Configuration1_window4_split14_typetest_projectsynapse1.1.csv;object_csv_licensed.zip_Configuration2_window11_split5_typetest_projectsynapse1.2.csv;5328;6144;833;966;582;1913048;0.058440031828703706
object_csv_licensed.zip_dsuiext.dll.csv__3740020875__.csv;object_csv_licensed.zip_trie.dll.csv__399545289__.csv;1320;1430;158;165;63;15038;0.007966730239457513
parent_csv_licensed.zip_messages_en_239.csv;show_time_csv_licensed.zip_messages_759.csv;3160;3136;856;785;784;5356315;0.5405090537005942
in_time_csv_licensed.zip_0208_231259_InitializeSampleRD.csv;in_time_csv_licensed.zip_0211_032425_InitializeSampleRD.csv;164;164;156;146;87;94;0.003494943486020226
id_csv_licensed.zip_0021500577.csv;id_csv_licensed.zip_0021900658_7.csv;754;725;164;153;57;31869;0.058298728619774996
id_csv_licensed.zip_0011800051.csv;id_csv_licensed.zip_0022000476.csv;1036;725;151;151;42;73167;0.09741312741312741
in_time_csv_licensed.zip_0201_192123_InitializeSampleRD.csv;real_time_csv_licensed.zip_0209_192441_InitializeSampleGD.csv;164;164;155;155;88;95;0.003532123735871505
id_csv_licensed.zip_0021600646_7.csv;id_csv_licensed.zip_boxscore_0021700855.csv;754;725;163;154;65;36835;0.06738315192536358
then_csv_licensed.zip_tabfile_233.csv;then_csv_licensed.zip_tabfile_460.csv;4;4;3;3;3;6;0.375
id_csv_licensed.zip_boxscore_0021401085.csv;id_csv_licensed.zip_boxscore_0021600965.csv;725;754;158;165;60;41154;0.07528400256105369
real_time_csv_licensed.zip_0131_152832_InitializeSampleRD.csv;real_time_csv_licensed.zip_0201_163022_InitializeSampleRD.csv;164;164;154;157;88;95;0.003532123735871505
real_time_csv_licensed.zip_ResNet034-v1_101.csv;real_time_csv_licensed.zip_ResNet034-v1_41.csv;415;360;129;115;78;2498;0.01672021419009371
processing_time_csv_licensed.zip_NAICS_data_4525_21.csv;sampling_rate_csv_licensed.zip_NAICS_data_7388_8.csv;2981;1298;1070;646;385;64901;0.01677315344381907
rate_of_return_csv_licensed.zip_J01-2004_231.csv;then_csv_licensed.zip_J01-2004_aakansha_170.csv;187;187;100;86;61;1638;0.046841488175240927
object_csv_licensed.zip_00007-311.csv;object_csv_licensed.zip_00023-801.csv;121;143;47;62;29;1212;0.07004565682251633
id_csv_licensed.zip_0021801141.csv;id_csv_licensed.zip_0022000673.csv;725;812;149;142;37;50532;0.08583658909461525
object_csv_licensed.zip_00007-300_1.csv;object_csv_licensed.zip_00018-146.csv;121;121;47;57;29;948;0.06474967556860871
seek_time_csv_licensed.zip_PL2331LAGRWK3J.csv;seek_time_csv_licensed.zip_PL2331LAGUJ0GJ.csv;14231;11704;1640;1472;765;37522656;0.22528062383234007
object_csv_licensed.zip_Configuration2_window11_split13_typetest_projectsynapse1.2.csv;object_csv_licensed.zip_Configuration3_window2_split8_typetest_projectsynapse1.1.csv;6144;5328;966;833;582;1913048;0.058440031828703706
real_time_csv_licensed.zip_ResNet050-v1_304.csv;real_time_csv_licensed.zip_ResNet050-v1_581.csv;870;1030;293;307;194;11689;0.01304430309117286
seek_time_csv_licensed.zip_PL1331LAGM38RH.csv;seek_time_csv_licensed.zip_PL2331LAGSUZEJ.csv;14782;13015;1725;1518;841;53153047;0.27628085741226843
id_csv_licensed.zip_0021900224.csv;id_csv_licensed.zip_boxscore_0021800070.csv;667;696;152;157;82;27334;0.058880042737252065
data_rate_csv_licensed.zip_A00-2018_sweta_143.csv;then_csv_licensed.zip_A00-2018_akanksha_172.csv;176;165;88;76;55;1436;0.049449035812672175
data_rate_csv_licensed.zip_A00-2018_akanksha_179.csv;then_csv_licensed.zip_A00-2018_akanksha_44.csv;165;165;76;76;73;1584;0.05818181818181818
in_time_csv_licensed.zip_0201_115107_InitializeSampleHD.csv;real_time_csv_licensed.zip_0223_131303_InitializeSampleCC.csv;164;164;137;143;87;95;0.003532123735871505
data_rate_csv_licensed.zip_A00-2018_509.csv;parent_csv_licensed.zip_A00-2018_sweta_44.csv;176;176;90;88;56;1493;0.04819860537190083
physical_entity_csv_licensed.zip_metadata-guidelines_33.csv;physical_entity_csv_licensed.zip_metadata-info_126.csv;136;144;106;111;92;326;0.01664624183006536
real_time_csv_licensed.zip_0202_152144_InitializeSampleHD.csv;real_time_csv_licensed.zip_0209_085250_InitializeSampleHD.csv;164;164;147;155;87;96;0.003569303985722784
id_csv_licensed.zip_0021601117.csv;id_csv_licensed.zip_0021800023.csv;754;754;154;146;48;11552;0.02031956884238966
processing_time_csv_licensed.zip_P05-1013_aakansha_21.csv;show_time_csv_licensed.zip_P05-1013.annv3_73.csv;220;220;92;111;70;2366;0.04888429752066116
id_csv_licensed.zip_0021601062.csv;id_csv_licensed.zip_boxscore_0021800178.csv;725;667;158;144;56;30185;0.06242051388099054
in_time_csv_licensed.zip_0203_005407_InitializeSampleHD.csv;real_time_csv_licensed.zip_0203_152507_InitializeSampleGD.csv;164;164;148;155;87;95;0.003532123735871505
in_time_csv_licensed.zip_0223_194255_InitializeSampleCC.csv;real_time_csv_licensed.zip_0211_152344_InitializeSampleHD.csv;164;164;148;143;96;114;0.0042385484830458064
id_csv_licensed.zip_8351_1.csv;running_time_csv_licensed.zip_MSNBC.201107_1.csv;200;80;60;80;30;59;0.0036875
id_csv_licensed.zip_30640.csv;id_csv_licensed.zip_31115.csv;826;875;527;543;448;29961;0.04145416810792114
id_csv_licensed.zip_0021700138.csv;id_csv_licensed.zip_boxscore_0021600119.csv;754;754;153;167;59;40739;0.07165849334055682
object_csv_licensed.zip_Configuration1_window17_split11_typetypetest_projectpoi2.5.csv;parent_csv_licensed.zip_Configuration3_window12_split9_typetest_projectpoi1.5.csv;6744;5688;1126;963;543;1790725;0.04668224648924793
in_time_csv_licensed.zip_0204_104058_InitializeSampleRD.csv;in_time_csv_licensed.zip_0204_135540_InitializeSampleRD.csv;164;164;156;154;94;106;0.003941106484235574
in_time_csv_licensed.zip_0201_203528_InitializeSampleHD_1.csv;real_time_csv_licensed.zip_0202_105830_InitializeSampleRD.csv;164;164;156;146;86;93;0.0034577632361689472
id_csv_licensed.zip_boxscore_0021400447_1.csv;id_csv_licensed.zip_boxscore_0021400803.csv;725;696;152;146;75;39894;0.07906064209274673
in_time_csv_licensed.zip_0201_222517_InitializeSampleHD.csv;real_time_csv_licensed.zip_0212_005021_InitializeSampleHD.csv;164;164;155;140;91;103;0.003829565734681737
seek_time_csv_licensed.zip_PL1331LAGSAAGH.csv;seek_time_csv_licensed.zip_PL1331LAGTUWGH.csv;13756;12692;1548;1405;739;44554821;0.25519518308694134
id_csv_licensed.zip_0021600235.csv;id_csv_licensed.zip_0041600235.csv;754;728;163;133;37;51998;0.09472920978226018
id_csv_licensed.zip_0021701128.csv;id_csv_licensed.zip_boxscore_0021700846.csv;754;667;158;138;62;9446;0.018782385995331247
id_csv_licensed.zip_0021600124_1.csv;id_csv_licensed.zip_0021800685_3.csv;608;576;246;251;55;14647;0.04182371619152047
seek_time_csv_licensed.zip_PL1331LAGR1APH.csv;seek_time_csv_licensed.zip_PL1331LAGSX4MH.csv;13642;12084;1629;1630;935;42205012;0.2560208094237081
id_csv_licensed.zip_0021500241_4.csv;id_csv_licensed.zip_0021800910.csv;754;754;157;163;71;41189;0.07245002779165406
id_csv_licensed.zip_0021501087.csv;id_csv_licensed.zip_0021800022.csv;696;725;141;151;50;8931;0.017699167657550537
seek_time_csv_licensed.zip_PL1331LAGR6Y9H.csv;seek_time_csv_licensed.zip_PL1331LAGSYKRH.csv;14307;12255;1609;1388;920;49483747;0.28222838138452366
in_time_csv_licensed.zip_0202_132440_InitializeSampleHD.csv;real_time_csv_licensed.zip_0204_103649_InitializeSampleRD.csv;164;164;146;155;87;96;0.003569303985722784
id_csv_licensed.zip_0021800167.csv;id_csv_licensed.zip_boxscore_0021600773.csv;754;754;155;162;63;41050;0.07220553159453735
id_csv_licensed.zip_29196.csv;id_csv_licensed.zip_30792.csv;840;777;536;500;420;26814;0.041082919654348224
in_time_csv_licensed.zip_0210_132003_InitializeSampleHD.csv;in_time_csv_licensed.zip_0212_065736_InitializeSampleHD.csv;164;164;157;144;90;97;0.003606484235574063
in_time_csv_licensed.zip_0130_155017_InitializeSampleGD.csv;in_time_csv_licensed.zip_0131_220851_InitializeSampleHD.csv;164;164;136;154;92;102;0.003792385484830458
seek_time_csv_licensed.zip_PL1331LAGRZ3DH_1.csv;seek_time_csv_licensed.zip_PL1331LAGSB8AH.csv;14307;13547;1648;1514;1194;54541952;0.2814096388866011
then_csv_licensed.zip_W99-0623.annv3_69.csv;then_csv_licensed.zip_W99-0623_vardha_35.csv;187;198;89;90;53;2048;0.05531248311996975
processing_time_csv_licensed.zip_W11-2123.annv3_18.csv;show_time_csv_licensed.zip_W11-2123_21.csv;220;220;109;111;68;2386;0.04929752066115702
id_csv_licensed.zip_10.1038_ncomms7925.csv;id_csv_licensed.zip_boxscore_0041400126.csv;1784;754;44;148;10;56004;0.04163445183237977
in_time_csv_licensed.zip_0126_233539_1.csv;real_time_csv_licensed.zip_0204_002229_InitializeSampleRD.csv;164;164;153;155;88;97;0.003606484235574063
escape_velocity_csv_licensed.zip_Configuration1_window19_split7_typetest_projectvelocity1.6.csv;escape_velocity_csv_licensed.zip_Configuration1_window7_split8_typetest_projectvelocity1.5.csv;5496;5136;823;780;569;1625234;0.057576354029211844
seek_time_csv_licensed.zip_PL1331LAHDXTRH.csv;seek_time_csv_licensed.zip_PL2331LAHDULNJ_1.csv;1121;969;132;132;99;316496;0.29136597594105956
id_csv_licensed.zip_0021801192.csv;id_csv_licensed.zip_boxscore_0021500765.csv;725;725;153;153;62;35796;0.06810178359096314
object_csv_licensed.zip_Configuration1_window19_split9_typetest_projectsynapse1.0.csv;object_csv_licensed.zip_Configuration3_window15_split4_typetest_projectsynapse1.1.csv;3768;5328;646;833;391;1197856;0.059666354252341514
id_csv_licensed.zip_Coordinate.csv;id_csv_licensed.zip_test_data_records_103.csv;125;700;53;103;25;352;0.004022857142857143
running_time_csv_licensed.zip_J01-2004.annv3_14.csv;then_csv_licensed.zip_J01-2004_299.csv;187;187;98;97;61;1638;0.046841488175240927
show_time_csv_licensed.zip_W99-0623_swastika_151.csv;then_csv_licensed.zip_W99-0623_366.csv;187;187;74;88;53;1718;0.04912922874546027
id_csv_licensed.zip_0021501020.csv;id_csv_licensed.zip_boxscore_0021600676.csv;754;725;153;159;67;38440;0.07031921704930029
seek_time_csv_licensed.zip_PL2331LAHDL33J.csv;seek_time_csv_licensed.zip_PL2331LAHDWVEJ.csv;1330;1330;169;178;136;521953;0.295072078692973
id_csv_licensed.zip_halo_85012409524_particle_ID.csv;id_csv_licensed.zip_halo_85012998017_particle_ID_1.csv;76;72;39;37;14;1381;0.25237573099415206
id_csv_licensed.zip_0022000145.csv;id_csv_licensed.zip_boxscore_0021600501.csv;840;754;143;161;38;46182;0.07291587722622206
id_csv_licensed.zip_boxscore_0021701092.csv;id_csv_licensed.zip_boxscore_0021800529_1.csv;725;696;150;149;60;36139;0.07161910424098296
processing_time_csv_licensed.zip_P05-1013_swastika_180.csv;thing_csv_licensed.zip_P05-1013_146.csv;220;220;94;115;69;2386;0.04929752066115702
object_csv_licensed.zip_EDED.d06a_7.csv;physical_entity_csv_licensed.zip_EDED.d01b_9.csv;645;640;645;640;573;573;0.0013880813953488372
real_time_csv_licensed.zip_0204_052220_InitializeSampleRD.csv;real_time_csv_licensed.zip_0224_173942_InitializeSampleCC.csv;164;164;156;155;87;94;0.003494943486020226
in_time_csv_licensed.zip_0131_134937_InitializeSampleRD.csv;in_time_csv_licensed.zip_0222_193845_InitializeSampleCC.csv;164;164;156;136;88;95;0.003532123735871505
id_csv_licensed.zip_0021500399.csv;id_csv_licensed.zip_0022000060.csv;725;783;155;157;62;38171;0.06724093891751443
seek_time_csv_licensed.zip_PL1311LAG3DB8H.csv;seek_time_csv_licensed.zip_PL1331LAGM0AJH.csv;12065;14782;1295;1732;573;19780449;0.11091125545943777
in_time_csv_licensed.zip_0205_082115_InitializeSampleHD.csv;real_time_csv_licensed.zip_0224_142349_InitializeSampleCC.csv;164;164;157;135;91;101;0.003755205234979179
id_csv_licensed.zip_0021901275_1.csv;id_csv_licensed.zip_0022000933_4.csv;544;480;207;219;54;5451;0.020875459558823528
id_csv_licensed.zip_ir.model.access_21339.csv;id_csv_licensed.zip_ir.model.access_31989.csv;32;48;13;19;4;224;0.14583333333333334
id_csv_licensed.zip_boxscore_0021400872.csv;id_csv_licensed.zip_boxscore_0021700472.csv;754;725;150;156;55;35825;0.06553553461995792
id_csv_licensed.zip_boxscore_0021600721.csv;lead_time_csv_licensed.zip_P87-1015.csv;725;176;158;90;18;368;0.002884012539184953
in_time_csv_licensed.zip_0201_234005_InitializeSampleHD.csv;real_time_csv_licensed.zip_0209_222233_InitializeSampleGD_1.csv;164;164;156;143;88;98;0.003643664485425342
id_csv_licensed.zip_requested_services_156.csv;id_csv_licensed.zip_requested_services_179.csv;800;800;392;399;278;3980;0.00621875
id_csv_licensed.zip_0021900591.csv;id_csv_licensed.zip_boxscore_0021601007.csv;725;696;156;152;64;33059;0.06551525961157352
